fund_name,category,fund_ytd,fund_1y,fund_3y,fund_5y,benchmark_name,benchmark_ytd,benchmark_1y,benchmark_3y,benchmark_5y,fund_mean,fund_std_dev,fund_Sharpe,fund_Sortino,fund_Beta,fund_Alpha,benchmark_mean,benchmark_std_dev,benchmark_Sharpe,benchmark_Sortino,fund_house,Type,Expense_ratio,AMC,Benchmark,Fund Manager,sector1_name,sector1_percent,sector2_name,sector2_percent,sector3_name,sector3_percent,Riskometer,Category,SubCategory
ICICI Pru BSE Sensex ETF,Equity: Large Cap,4.35,-0.64,12.21,17.38,BSE 100 TRI,4.46,-1.7,14.08,19.28,11.71,11.73,0.46,0.81,0.92,-1.13,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.02%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,BSE Sensex TRI,Ajay Kumar Solanki,Financial,39.98,Technology,18.93,Energy & Utilities,12.88,Very High,Equity,Large Cap
ICICI Pru BSE Sensex Index Dir,Equity: Large Cap,4.2,-0.85,11.95,17.07,BSE 100 TRI,4.46,-1.7,14.08,19.28,11.46,11.73,0.44,0.77,0.92,-1.37,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.20%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,BSE Sensex TRI,Ajay Kumar Solanki,Financial,39.99,Technology,18.94,Energy & Utilities,12.88,Very High,Equity,Large Cap
ICICI Pru Commodities Dir,Equity: Thematic,12.11,3.76,20.88,32.64,BSE 500 TRI,2.84,-3.29,15.09,20.66,19.35,15.05,0.86,1.4,0.98,5.14,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.99%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY Commodities TRI,Lalit Kumar,Materials,93.26,Industrials,3.53,Energy & Utilities,0.67,Very High,Equity,Thematic
ICICI Pru Dividend Yield Equity Dir,Equity: Thematic-Dividend Yield,7.64,0.45,24.85,30.06,BSE 500 TRI,2.84,-3.29,15.09,20.66,22.67,12.34,1.32,2.17,0.86,9.39,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.57%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 500 TRI,Mittul Kalawadia,Financial,27.29,Energy & Utilities,17.74,Consumer Discretionary,9.51,Very High,Equity,Thematic-Dividend Yield
ICICI Pru ELSS Tax Saver Dir,Equity: ELSS,7.3,0.02,16.79,21.49,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.92,12.11,0.79,1.55,0.86,2.61,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"1.09%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 500 TRI,Mittul Kalawadia,Financial,29.77,Consumer Discretionary,16.21,Healthcare,12.41,Very High,Equity,ELSS
ICICI Pru Exports & Services Dir,Equity: Thematic,5.16,-0.61,20.73,24.23,BSE 500 TRI,2.84,-3.29,15.09,20.66,19.36,11.25,1.16,2.48,0.8,6.57,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"1.69%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,BSE 500 TRI,Sankaran Naren,Financial,33.5,Technology,16.93,Industrials,13.31,Very High,Equity,Thematic
ICICI Pru FMCG Dir,Equity: Thematic,3.34,-8.09,10.16,16.01,BSE 500 TRI,2.84,-3.29,15.09,20.66,10.0,11.91,0.31,0.36,0.67,-1.75,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"1.26%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY FMCG TRI,Priyanka Khandelwal,Consumer Staples,91.74,Healthcare,2.35,Materials,0.96,Very High,Equity,Thematic
ICICI Pru Focused Equity Dir,Equity: Flexi Cap,9.59,3.91,23.47,25.88,BSE 500 TRI,2.84,-3.29,15.09,20.66,21.53,13.02,1.17,2.05,0.93,7.7,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.59%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,BSE 500 TRI,Vaibhav Dusad,Financial,27.12,Technology,15.74,Materials,12.39,Very High,Equity,Flexi Cap
ICICI Pru India Equity FOF Dir,Equity: Flexi Cap,4.25,-0.02,21.14,26.27,BSE 500 TRI,2.84,-3.29,15.09,20.66,19.57,11.94,1.11,1.89,0.87,6.23,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.63%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,BSE 500 TRI,Dharmesh Kakkad,Financial,23.37,Energy & Utilities,14.35,Technology,13.96,Very High,Equity,Flexi Cap
ICICI Pru India Opportunities Dir,Equity: Thematic,5.99,0.26,23.46,31.02,BSE 500 TRI,2.84,-3.29,15.09,20.66,21.68,11.66,1.32,2.62,0.82,8.74,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.63%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 500 TRI,Divya Jain,Financial,29.63,Energy & Utilities,12.21,Healthcare,11.79,Very High,Equity,Thematic
ICICI Pru Infrastructure Dir,Equity: Thematic-Infrastructure,4.06,-2.67,28.47,35.42,BSE India Infrastructure TRI,-3.38,-19.16,27.14,34.31,26.12,14.86,1.33,2.39,0.54,9.21,25.88,24.31,0.8,1.54,ICICI Prudential Mutual Fund,Open-ended,"1.14%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,BSE India Infrastructure TRI,Ihab Dalwai,Industrials,35.56,Energy & Utilities,18.51,Materials,17.53,Very High,Equity,Thematic-Infrastructure
ICICI Pru Large Cap Dir,Equity: Large Cap,6.33,0.68,18.47,22.08,BSE 100 TRI,4.46,-1.7,14.08,19.28,17.3,11.74,0.93,1.65,0.91,4.52,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.86%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 100 TRI,Vaibhav Dusad,Financial,29.71,Energy & Utilities,13.29,Technology,10.65,Very High,Equity,Large Cap
ICICI Pru Large & Mid Cap Dir,Equity: Large & MidCap,9.2,0.8,21.78,27.3,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,20.24,11.91,1.17,1.84,0.86,7.37,13.75,13.11,0.57,0.8,ICICI Prudential Mutual Fund,Open-ended,"0.77%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY Large Midcap 250 TRI,Ihab Dalwai,Consumer Discretionary,22.78,Financial,18.21,Materials,11.69,Very High,Equity,Large & MidCap
ICICI Pru Manufacturing Dir,Equity: Thematic,8.19,-0.44,26.19,29.17,BSE 500 TRI,2.84,-3.29,15.09,20.66,23.97,16.26,1.09,1.58,1.13,8.55,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.73%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,Nifty India Manufacturing TRI,Antariksha Banerjee,Materials,43.34,Consumer Discretionary,22.94,Industrials,21.34,Very High,Equity,Thematic
ICICI Pru Midcap Dir,Equity: Mid Cap,4.25,0.6,21.91,27.13,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,20.83,16.16,0.9,1.34,0.97,0.53,20.69,15.83,0.91,1.34,ICICI Prudential Mutual Fund,Open-ended,"1.05%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY Midcap 150 TRI,Lalit Kumar,Materials,27.69,Industrials,23.55,Financial,18.82,Very High,Equity,Mid Cap
ICICI Pru MNC Dir,Equity: Thematic-MNC,2.23,-4.74,14.95,21.83,BSE 500 TRI,2.84,-3.29,15.09,20.66,14.38,11.63,0.69,0.83,0.78,1.79,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"1.05%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY MNC TRI,Roshan Chutkey,Consumer Staples,25.4,Consumer Discretionary,23.92,Healthcare,21.36,Very High,Equity,Thematic-MNC
ICICI Pru Nifty 100 ETF,Equity: Large Cap,4.25,-2.67,12.7,17.95,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.18,12.86,0.46,0.76,1.02,-1.35,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.48%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 100 TRI,Ajay Kumar Solanki,Financial,34.76,Technology,14.92,Energy & Utilities,12.46,Very High,Equity,Large Cap
ICICI Pru Nifty 100 Low Volatility 30 ETF,Equity: Large Cap,7.54,-0.73,16.62,19.1,BSE 100 TRI,4.46,-1.7,14.08,19.28,15.61,12.79,0.73,1.03,0.94,2.59,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.41%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 100 Low Volatility 30 TRI,Ajay Kumar Solanki,Consumer Staples,19.29,Healthcare,18.18,Financial,16.65,Very High,Equity,Large Cap
ICICI Pru Nifty 50 ETF,Equity: Large Cap,5.77,-0.39,13.13,18.24,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.51,12.12,0.51,0.91,0.96,-0.59,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.02%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 50 TRI,Ajay Kumar Solanki,Financial,37.74,Technology,16.95,Energy & Utilities,11.78,Very High,Equity,Large Cap
ICICI Pru Nifty 50 Index Dir,Equity: Large Cap,5.59,-0.62,12.86,17.96,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.27,12.11,0.49,0.88,0.95,-0.83,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.19%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 50 TRI,Ajay Kumar Solanki,Financial,37.74,Technology,16.95,Energy & Utilities,11.78,Very High,Equity,Large Cap
ICICI Pru Nifty50 Value 20 ETF,Equity: Value Oriented,-5.13,-10.45,14.18,20.0,BSE 500 TRI,2.84,-3.29,15.09,20.66,13.78,13.02,0.57,0.83,0.85,0.55,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.25%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 50 Value 20 TRI,Ajay Kumar Solanki,Technology,28.93,Financial,25.74,Consumer Discretionary,12.14,Very High,Equity,Value Oriented
ICICI Pru Nifty Alpha Low Volatility 30 ETF,Equity: Large & MidCap,-2.77,-12.57,16.38,18.34,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,15.94,14.88,0.65,0.94,1.05,1.64,13.75,13.11,0.57,0.8,ICICI Prudential Mutual Fund,Open-ended,"0.41%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,Nifty Alpha Low Volatility 30 TRI,Ajay Kumar Solanki,Financial,31.72,Healthcare,21.72,Technology,14.73,Very High,Equity,Large & MidCap
ICICI Pru Nifty Midcap 150 ETF,Equity: Mid Cap,0.54,-3.25,21.56,27.27,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,20.41,15.79,0.89,1.34,0.99,-0.17,20.69,15.83,0.91,1.34,ICICI Prudential Mutual Fund,Open-ended,"0.15%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY Midcap 150 TRI,Ajay Kumar Solanki,Financial,21.49,Industrials,19.12,Materials,12.37,Very High,Equity,Mid Cap
ICICI Pru Nifty Next 50 ETF,Equity: Large Cap,-0.61,-10.37,16.14,20.73,BSE 100 TRI,4.46,-1.7,14.08,19.28,15.86,17.97,0.53,0.81,1.28,0.44,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.10%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY Next 50 TRI,Ajay Kumar Solanki,Financial,20.27,Energy & Utilities,15.78,Consumer Staples,13.88,Very High,Equity,Large Cap
ICICI Pru Nifty Next 50 Index Dir,Equity: Large Cap,-0.85,-10.88,15.74,20.21,BSE 100 TRI,4.46,-1.7,14.08,19.28,15.51,17.98,0.51,0.78,1.28,0.09,13.41,12.6,0.56,0.95,ICICI Prudential Mutual Fund,Open-ended,"0.31%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY Next 50 TRI,Ajay Kumar Solanki,Financial,20.28,Energy & Utilities,15.78,Consumer Staples,13.89,Very High,Equity,Large Cap
ICICI Pru Passive Strategy (FOF) Dir,Equity: Flexi Cap,3.96,-0.28,17.67,20.86,BSE 500 TRI,2.84,-3.29,15.09,20.66,16.53,11.58,0.88,1.52,0.84,3.44,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.15%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 200 TRI,Dharmesh Kakkad,Financial,30.44,Energy & Utilities,14.71,Technology,13.01,Very High,Equity,Flexi Cap
ICICI Pru Pharma Healthcare and Diagnostics Dir,Equity: Sectoral-Pharma,0.16,4.33,29.35,22.59,BSE Healthcare TRI,-1.75,2.08,25.5,19.48,26.83,15.52,1.32,1.88,0.94,4.42,23.38,16.15,1.06,1.6,ICICI Prudential Mutual Fund,Open-ended,"1.04%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,BSE Healthcare TRI,Dharmesh Kakkad,Healthcare,89.71,Industrials,2.85,Materials,2.26,Very High,Equity,Sectoral-Pharma
ICICI Pru Retirement Pure Equity Dir,Equity: Flexi Cap,8.79,5.28,24.49,29.05,BSE 500 TRI,2.84,-3.29,15.09,20.66,22.18,14.73,1.08,1.68,1.04,7.43,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.71%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 500 TRI,Darshil Dedhia,Materials,29.05,Financial,22.54,Technology,11.98,Very High,Equity,Flexi Cap
ICICI Pru Smallcap Dir,Equity: Small Cap,3.01,-3.84,19.05,30.03,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,18.54,14.98,0.82,1.19,0.75,1.18,20.97,18.9,0.77,1.19,ICICI Prudential Mutual Fund,Open-ended,"0.73%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY Smallcap 250 TRI,Aatur Shah,Materials,28.66,Industrials,21.67,Consumer Discretionary,10.83,Very High,Equity,Small Cap
ICICI Pru Technology Dir,Equity: Sectoral-Technology,-8.32,-7.67,15.04,22.81,BSE IT TRI,-19.93,-19.68,8.43,15.64,15.11,16.55,0.53,0.91,0.83,5.92,9.76,19.48,0.18,0.33,ICICI Prudential Mutual Fund,Open-ended,"0.96%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,BSE Teck TRI,Vaibhav Dusad,Technology,89.83,Industrials,4.76,Consumer Discretionary,2.28,Very High,Equity,Sectoral-Technology
ICICI Pru Thematic Advantage (FOF) Dir,Equity: Thematic,6.12,4.92,20.9,25.83,BSE 500 TRI,2.84,-3.29,15.09,20.66,19.32,10.32,1.26,2.5,0.73,7.07,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.30%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 200 TRI,Dharmesh Kakkad,Financial,22.07,Technology,20.22,Healthcare,12.64,Very High,Equity,Thematic
ICICI Pru Value Dir,Equity: Value Oriented,7.04,0.53,21.96,26.56,BSE 500 TRI,2.84,-3.29,15.09,20.66,20.27,11.41,1.22,2.21,0.8,7.51,14.4,13.39,0.6,0.94,ICICI Prudential Mutual Fund,Open-ended,"0.99%
(As on 31-Aug-2025)",ICICI Prudential Asset Management Company Ltd,NIFTY 500 TRI,Dharmesh Kakkad,Financial,30.49,Energy & Utilities,14.48,Technology,11.32,Very High,Equity,Value Oriented
Invesco India Contra Dir,Equity: Value Oriented,1.03,-1.15,20.68,23.58,BSE 500 TRI,2.84,-3.29,15.09,20.66,19.34,13.62,0.96,1.46,0.98,5.1,14.4,13.39,0.6,0.94,Invesco Mutual Fund,Open-ended,"0.53%
(As on 31-Aug-2025)",Invesco Asset Management (India) Pvt. Ltd,BSE 500 TRI,Amit Ganatra,Financial,31.11,Technology,16.6,Healthcare,13.87,Very High,Equity,Value Oriented
Invesco India ELSS Tax Saver Dir,Equity: ELSS,-0.94,-1.32,18.22,20.5,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.06,14.01,0.77,1.01,0.99,2.71,14.4,13.39,0.6,0.94,Invesco Mutual Fund,Open-ended,"0.78%
(As on 31-Aug-2025)",Invesco Asset Management (India) Pvt. Ltd,BSE 500 TRI,Amit Nigam,Financial,23.32,Consumer Discretionary,18.27,Technology,17.69,Very High,Equity,ELSS
Invesco India Infrastructure Dir,Equity: Thematic-Infrastructure,-1.74,-5.34,26.35,30.91,BSE India Infrastructure TRI,-3.38,-19.16,27.14,34.31,25.21,19.29,0.98,1.25,0.65,6.11,25.88,24.31,0.8,1.54,Invesco Mutual Fund,Open-ended,"0.84%
(As on 31-Aug-2025)",Invesco Asset Management (India) Pvt. Ltd,BSE India Infrastructure TRI,Amit Nigam,Industrials,43.28,Materials,19.55,Consumer Discretionary,9.53,Very High,Equity,Thematic-Infrastructure
Invesco India Largecap Dir,Equity: Large Cap,3.91,0.36,17.79,20.75,BSE 100 TRI,4.46,-1.7,14.08,19.28,16.69,13.73,0.75,1.16,1.05,2.93,13.41,12.6,0.56,0.95,Invesco Mutual Fund,Open-ended,"0.71%
(As on 31-Aug-2025)",Invesco Asset Management (India) Pvt. Ltd,NIFTY 100 TRI,Amit Nigam,Financial,30.68,Technology,16.68,Consumer Discretionary,14.06,Very High,Equity,Large Cap
Invesco India Large & Mid Cap Dir,Equity: Large & MidCap,6.59,8.52,26.2,25.82,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,23.67,14.79,1.17,1.52,1.02,9.64,13.75,13.11,0.57,0.8,Invesco Mutual Fund,Open-ended,"0.64%
(As on 31-Aug-2025)",Invesco Asset Management (India) Pvt. Ltd,NIFTY Large Midcap 250 TRI,Amit Ganatra,Financial,26.97,Healthcare,19.28,Technology,15.1,Very High,Equity,Large & MidCap
Invesco India Mid cap Dir,Equity: Mid Cap,5.38,9.96,28.5,29.8,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,26.1,16.04,1.23,1.6,0.95,6.13,20.69,15.83,0.91,1.34,Invesco Mutual Fund,Open-ended,"0.56%
(As on 31-Aug-2025)",Invesco Asset Management (India) Pvt. Ltd,BSE 150 MidCap TRI,Amit Ganatra,Financial,29.44,Healthcare,19.76,Consumer Discretionary,12.84,Very High,Equity,Mid Cap
Invesco India Nifty 50 ETF,Equity: Large Cap,5.7,-0.48,13.03,18.15,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.42,12.11,0.5,0.9,0.96,-0.68,13.41,12.6,0.56,0.95,Invesco Mutual Fund,Open-ended,"0.10%
(As on 31-Aug-2025)",Invesco Asset Management (India) Pvt. Ltd,NIFTY 50 TRI,Kuber Mannadi,Financial,37.76,Technology,16.95,Energy & Utilities,11.79,Very High,Equity,Large Cap
Invesco India PSU Equity Dir,Equity: Thematic-PSU,2.42,-9.11,29.93,29.42,BSE PSU TRI,1.33,-11.15,31.3,34.8,28.4,22.47,0.98,1.71,0.96,0.11,29.25,22.61,1.01,1.84,Invesco Mutual Fund,Open-ended,"0.90%
(As on 31-Aug-2025)",Invesco Asset Management (India) Pvt. Ltd,BSE PSU TRI,Hiten Jain,Energy & Utilities,43.94,Industrials,27.8,Financial,21.95,Very High,Equity,Thematic-PSU
Invesco India Smallcap Dir,Equity: Small Cap,-2.37,0.28,26.46,31.9,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,24.47,16.16,1.12,1.36,0.8,6.36,20.97,18.9,0.77,1.19,Invesco Mutual Fund,Open-ended,"0.40%
(As on 31-Aug-2025)",Invesco Asset Management (India) Pvt. Ltd,BSE 250 SmallCap TRI,Taher Badshah,Financial,26.85,Healthcare,21.24,Industrials,13.36,Very High,Equity,Small Cap
ITI ELSS Tax Saver Dir,Equity: ELSS,0.98,-3.49,21.71,21.47,BSE 500 TRI,2.84,-3.29,15.09,20.66,20.29,15.47,0.9,1.24,1.08,5.27,14.4,13.39,0.6,0.94,ITI Mutual Fund,Open-ended,"0.31%
(As on 31-Aug-2025)",ITI Asset Management Ltd.,NIFTY 500 TRI,Alok Ranjan,Financial,33.28,Industrials,21.79,Materials,10.03,Very High,Equity,ELSS
ITI Small Cap Dir,Equity: Small Cap,-2.7,-2.0,27.39,26.62,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,25.49,16.6,1.15,1.42,0.83,6.98,20.97,18.9,0.77,1.19,ITI Mutual Fund,Open-ended,"0.22%
(As on 31-Aug-2025)",ITI Asset Management Ltd.,NIFTY Smallcap 250 TRI,Dhimant Shah,Industrials,22.12,Financial,20.64,Materials,18.15,Very High,Equity,Small Cap
JM ELSS Tax Saver Dir,Equity: ELSS,0.33,-4.96,20.9,24.09,BSE 500 TRI,2.84,-3.29,15.09,20.66,19.6,14.36,0.92,1.38,0.99,5.3,14.4,13.39,0.6,0.94,JM Financial Mutual Fund,Open-ended,"1.05%
(As on 31-Aug-2025)",JM Financial Asset Management Ltd.,BSE 500 TRI,Deepak Gupta,Financial,27.81,Technology,15.34,Industrials,14.38,Very High,Equity,ELSS
JM Flexicap Dir,Equity: Flexi Cap,-5.92,-9.34,23.09,26.45,BSE 500 TRI,2.84,-3.29,15.09,20.66,21.69,15.0,1.02,1.47,1.02,7.13,14.4,13.39,0.6,0.94,JM Financial Mutual Fund,Open-ended,"0.55%
(As on 31-Aug-2025)",JM Financial Asset Management Ltd.,BSE 500 TRI,Satish Ramanathan,Financial,27.1,Industrials,18.36,Consumer Discretionary,16.55,Very High,Equity,Flexi Cap
JM Focused Dir,Equity: Flexi Cap,-2.82,-5.66,19.85,20.84,BSE 500 TRI,2.84,-3.29,15.09,20.66,18.64,14.08,0.87,1.3,0.95,4.65,14.4,13.39,0.6,0.94,JM Financial Mutual Fund,Open-ended,"0.74%
(As on 31-Aug-2025)",JM Financial Asset Management Ltd.,BSE 500 TRI,Asit Bhandarkar,Financial,25.04,Consumer Discretionary,22.47,Industrials,18.03,Very High,Equity,Flexi Cap
JM Large Cap Dir,Equity: Large Cap,0.41,-7.18,16.51,18.03,BSE 100 TRI,4.46,-1.7,14.08,19.28,15.74,13.24,0.71,1.21,0.98,2.45,13.41,12.6,0.56,0.95,JM Financial Mutual Fund,Open-ended,"0.81%
(As on 31-Aug-2025)",JM Financial Asset Management Ltd.,BSE 100 TRI,Deepak Gupta,Financial,30.92,Technology,16.86,Industrials,13.34,Very High,Equity,Large Cap
JM Value Dir,Equity: Value Oriented,-3.56,-11.94,24.71,26.64,BSE 500 TRI,2.84,-3.29,15.09,20.66,23.0,16.19,1.03,1.64,1.05,8.17,14.4,13.39,0.6,0.94,JM Financial Mutual Fund,Open-ended,"0.97%
(As on 31-Aug-2025)",JM Financial Asset Management Ltd.,BSE 500 TRI,Satish Ramanathan,Financial,23.14,Consumer Discretionary,19.6,Industrials,18.34,Very High,Equity,Value Oriented
Kotak BSE Sensex ETF,Equity: Large Cap,4.24,-0.81,11.95,17.12,BSE 100 TRI,4.46,-1.7,14.08,19.28,11.47,11.72,0.44,0.77,0.92,-1.36,13.41,12.6,0.56,0.95,Kotak Mahindra Mutual Fund,Open-ended,"0.18%
(As on 31-Aug-2025)",Kotak Mahindra Asset Management Company Ltd,BSE Sensex TRI,Devender Singhal,Financial,40.04,Technology,18.95,Energy & Utilities,12.9,Very High,Equity,Large Cap
Kotak Contra Dir,Equity: Value Oriented,2.92,-2.82,22.01,25.22,BSE 500 TRI,2.84,-3.29,15.09,20.66,20.57,13.6,1.05,1.65,0.99,6.24,14.4,13.39,0.6,0.94,Kotak Mahindra Mutual Fund,Open-ended,"0.57%
(As on 31-Aug-2025)",Kotak Mahindra Asset Management Company Ltd,NIFTY 500 TRI,Shibani Sircar Kurian,Financial,31.5,Technology,15.12,Industrials,11.33,Very High,Equity,Value Oriented
Kotak ELSS Tax Saver Dir,Equity: ELSS,-0.2,-3.37,16.81,22.58,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.98,12.91,0.75,1.03,0.92,2.25,14.4,13.39,0.6,0.94,Kotak Mahindra Mutual Fund,Open-ended,"0.62%
(As on 31-Aug-2025)",Kotak Mahindra Asset Management Company Ltd,NIFTY 500 TRI,Harsha Upadhyaya,Financial,28.69,Technology,17.9,Energy & Utilities,12.24,Very High,Equity,ELSS
Kotak Flexicap Dir,Equity: Flexi Cap,5.61,1.2,16.88,20.3,BSE 500 TRI,2.84,-3.29,15.09,20.66,16.03,12.92,0.75,1.27,0.93,2.16,14.4,13.39,0.6,0.94,Kotak Mahindra Mutual Fund,Open-ended,"0.59%
(As on 31-Aug-2025)",Kotak Mahindra Asset Management Company Ltd,NIFTY 500 TRI,Harsha Upadhyaya,Financial,25.57,Materials,18.43,Industrials,16.52,Very High,Equity,Flexi Cap
Kotak Focused Dir,Equity: Flexi Cap,6.87,1.24,16.71,21.72,BSE 500 TRI,2.84,-3.29,15.09,20.66,16.01,12.25,0.79,1.18,0.89,2.48,14.4,13.39,0.6,0.94,Kotak Mahindra Mutual Fund,Open-ended,"0.55%
(As on 31-Aug-2025)",Kotak Mahindra Asset Management Company Ltd,NIFTY 500 TRI,Shibani Sircar Kurian,Financial,27.2,Technology,20.91,Industrials,17.5,Very High,Equity,Flexi Cap
Kotak Infrastructure and Economic Reform Dir,Equity: Thematic-Infrastructure,-4.12,-8.4,22.47,31.49,BSE India Infrastructure TRI,-3.38,-19.16,27.14,34.31,21.84,18.05,0.86,0.98,0.56,4.61,25.88,24.31,0.8,1.54,Kotak Mahindra Mutual Fund,Open-ended,"0.66%
(As on 31-Aug-2025)",Kotak Mahindra Asset Management Company Ltd,NIFTY Infrastructure TRI,Nalin Rasik Bhatt,Industrials,44.9,Materials,17.24,Technology,13.28,Very High,Equity,Thematic-Infrastructure
Kotak Large Cap Dir,Equity: Large Cap,4.32,-0.34,15.77,20.09,BSE 100 TRI,4.46,-1.7,14.08,19.28,14.95,12.14,0.71,1.1,0.95,1.87,13.41,12.6,0.56,0.95,Kotak Mahindra Mutual Fund,Open-ended,"0.61%
(As on 31-Aug-2025)",Kotak Mahindra Asset Management Company Ltd,NIFTY 100 TRI,Rohit Tandon,Financial,29.78,Technology,15.82,Energy & Utilities,10.98,Very High,Equity,Large Cap
Kotak Large & Midcap Dir,Equity: Large & MidCap,1.58,-1.56,19.22,23.61,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,18.17,13.01,0.91,1.32,0.93,4.82,13.75,13.11,0.57,0.8,Kotak Mahindra Mutual Fund,Open-ended,"0.53%
(As on 31-Aug-2025)",Kotak Mahindra Asset Management Company Ltd,NIFTY Large Midcap 250 TRI,Harsha Upadhyaya,Financial,22.9,Industrials,17.82,Technology,16.0,Very High,Equity,Large & MidCap
